,TITLE,AUTHOR,PAGES,RATING,REVIEWERS,PLACE (COUNTRY),ORIGINAL YEAR,AWARDS,SERIES,GENRES,URL LINKS
510,Brideshead Revisited,Evelyn Waugh,351,4,99978,Italy,1945,No Award,0,"Classics, Fiction, Historical > Historical Fiction",https://www.goodreads.com/book/show/30933.Brideshead_Revisited
511,The God Delusion,Richard Dawkins,374,3.9,251509,None,2006,British Book Award for The Author of the Year (2007),0,"Nonfiction, Religion, Science, ",https://www.goodreads.com/book/show/14743.The_God_Delusion
512,The Complete Poems of Emily Dickinson,Emily Dickinson,716,4.24,89386,None,1890,No Award,0,"Poetry, Classics, Fiction",https://www.goodreads.com/book/show/112204.The_Complete_Poems_of_Emily_Dickinson
513,North and South,Elizabeth Gaskell,521,4.14,155416,England,1854,No Award,0,"Classics, Fiction, Romance, ",https://www.goodreads.com/book/show/156538.North_and_South
514,The War of the Worlds,H.G. Wells,192,3.83,273556,None,1897,None,None,"Classics, Science Fiction, Fiction, ",https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
515,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,648,4.55,353364,None,2015,Goodreads Choice Award for Young Adult Fantasy & Science Fiction (2015) and Nominee for Best of the Best  (2018),1,"Fantasy, Young Adult, Romance, ",https://www.goodreads.com/book/show/18006496-queen-of-shadows
516,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,389,4.48,873178,None,2017,"Goodreads Choice Award Nominee for Historical Fiction (2017), Book of the Month Book of the Year Award Nominee (2017)",0,"Historical > Historical Fiction, Fiction, Romance, ",https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo
517,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,836,4.12,237858,None,2003,Locus Award Nominee for Best first novel (1995),1,"Fantasy, Fiction, Fantasy > Epic Fantasy",https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
518,"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,1207,4.1,107752,England,1990,Locus Award for Best Dark Fantasy/Horror Novel (1991),1,"Horror, Fantasy, Fiction, ",https://www.goodreads.com/book/show/11901.The_Witching_Hour
519,"Torment (Fallen, #2)",Lauren Kate,452,3.85,225006,United State,2009,No Award,1,"Young Adult, Fantasy, Paranormal > Angels, ",https://www.goodreads.com/book/show/7740152-torment
520,"A Discovery of Witches (All Souls, #1)",Deborah Harkness,579,4.01,429992,United State,2010,None,None,"Fantasy, Fiction, Romance, ",https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
521,Vanity Fair,William Makepeace Thackeray,867,3.79,122713,England,1847,No Award,0,"Classics, Fiction, Historical > Historical Fiction",https://www.goodreads.com/book/show/5797.Vanity_Fair
522,"Cry, the Beloved Country",Alan Paton,316,3.9,70734,South Africa,1948,None,None,"Fiction, Classics, Cultural > Africa",https://www.goodreads.com/book/show/6150.Cry_the_Beloved_Country
523,Snow Crash,Neal Stephenson,559,4.03,252796,United State,1992,"Arthur C. Clarke Award Nominee (1994), British Science Fiction Association Award Nominee (1993), Grand Prix de l'Imaginaire for Roman Ç¸tranger (1997), Prometheus Award Nominee for Best Novel (1993), Washington State Book Award (1993)   Seiun Award ‘??‚?ýŠü? Nominee for Best Foreign Novel (1999)",0,"Science Fiction, Fiction, Science Fiction > Cyberpunk, ",https://www.goodreads.com/book/show/40651883-snow-crash
524,"Angels & Demons (Robert Langdon, #1)",Dan Brown,736,3.92,2921393,Italy,2000,Humo's Gouden Bladwijzer (2005),1,"Fiction, Mystery, Thriller, ",https://www.goodreads.com/book/show/960.Angels_Demons
525,"The Elite (The Selection, #2)",Kiera Cass,336,3.98,589340,None,2013,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013),1,"Young Adult, Romance, Science Fiction > Dystopia, ",https://www.goodreads.com/book/show/16248068-the-elite
526,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,297,4.16,282583,Outer Space,1968,No Award,1,"Science Fiction, Fiction, Classics, ",https://www.goodreads.com/book/show/70535.2001
527,Johnny Got His Gun,Dalton Trumbo,309,4.18,37827,None,1939,National Book Award for Most Original Book (1939),0,"Fiction, ClassicsWar",https://www.goodreads.com/book/show/51606.Johnny_Got_His_Gun
528,The Woman in White,Wilkie Collins,672,3.99,142484,England,1859,Audie Award for Classic (2011),0,"Classics, Mystery, Fiction, ",https://www.goodreads.com/book/show/5890.The_Woman_in_White
529,"Bared to You (Crossfire, #1)",Sylvia Day,334,4.17,487394,New Youk City,2012,"All About Romance (AAR) Annual Reader Poll for Best Erotic Romance AND Most Tortured Hero (2013), Goodreads Choice Award Nominee for Romance and for Goodreads Author (2012)",1,"Romance, Adult Fiction > Erotica, Contemporary",https://www.goodreads.com/book/show/20448515-bared-to-you
530,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,421,4.4,198691,None,2014,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014),1,"Science Fiction > Dystopia, Young Adult, Fantasy, ",https://www.goodreads.com/book/show/13188676-ignite-me
531,"Unwind (Unwind, #1)",Neal Shusterman,337,4.16,209238,United State,2007,"Rhode Island Teen Book Award Nominee (2010), Evergreen Teen Book Award (2010), Sakura Medal for Middle School Book (2009), Florida Teens Read Nominee (2009), Eliot Rosewater Indiana High School Book Award (2010)   California Young Readers Medal Nominee for Young Adult (2011), Gouden Lijst Nominee (2013), Green Mountain Book Award (2010), Missouri Gateway Readers Award Nominee (2010), Oklahoma Sequoyah Award for Intermediate (2010)",1,"Young Adult, Science Fiction > Dystopia, Science Fiction, ",https://www.goodreads.com/book/show/764347.Unwind
532,"Chocolat (Chocolat, #1)",Joanne Harris,306,3.96,119320,France,1999,"Whitbread Award Nominee for Novel (1999), Creative Freedom Award (2000), Whittaker Gold Award (2001)",1,None,https://www.goodreads.com/book/show/47401.Chocolat
533,"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,403,3.79,220128,United Kingdom,2003,"Iowa High School Book Award (2007), Lincoln Award Nominee (2007)",1,"Fantasy, Young Adult, Historical > Historical Fiction, ",https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty
534,"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,358,4.13,149516,United State,2007,Romantic Times Reviewers' Choice Award (RT Award) for Best Urban Fantasy (2007),1,"Fantasy > Paranormal, Paranormal > Vampires, Fantasy > Urban Fantasy, ",https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
535,"The Summoning (Darkest Powers, #1)",Kelley Armstrong,390,4.01,167488,United State,2008,Sunburst Award Nominee for Young Adult Work (2009),1,"Young Adult, Fantasy, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/2800905-the-summoning
536,"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,368,4.05,253166,United State,2009,"RITA Award by Romance Writers of America for Best Young Adult Romance (2010), Pennsylvania Young Readers' Choice Award for Young Adults (2011), Lincoln Award Nominee (2011), Perfect Chemistry (2012)",1,"Romance, Young Adult, Contemporary, ",https://www.goodreads.com/book/show/4268157-perfect-chemistry
537,"The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)",Cassandra Clare,1520,4.56,66698,Nono,2009,No Award,1,FantasyYoung AdultFantasy > Paranormal,https://www.goodreads.com/book/show/6485421-the-mortal-instruments-boxed-set
538,A Christmas Carol,Charles Dickens,104,4.07,703249,England,1843,Audie Award for Classic (2005),0,"Classics, Fiction, Holiday > Christmas, ",https://www.goodreads.com/book/show/5326.A_Christmas_Carol
539,Cannery Row (Cannery Row #1),John Steinbeck,181,4.05,121239,United State,1945,None,None,"Classics, Fiction, Literature",https://www.goodreads.com/book/show/4799.Cannery_Row
540,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,349,3.66,339425,Pakistan,2006,"Dayton Literary Peace Prize Nominee for Nonfiction (2007), Puddly Award for Nonfiction (2010), Montana Book Award Nominee (2006), Kiriyama Prize for Nonfiction (2007), One Book One San Diego (2008)",0,"Nonfiction, Autobiography > MemoirBiography",https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea
541,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,409,4.05,318986,United State,2012,"Bram Stoker Award Nominee for Best Young Adult Novel (2012), Mythopoeic Fantasy Award Nominee for Adult Literature (2017), Rhode Island Teen Book Award Nominee (2015), Milwaukee County Teen Book Award Nominee (2014), The Inky Awards for Silver Inky (2013)   Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), Carnegie Medal Nominee (2014), The Inky Awards Shortlist for Silver Inky (2013), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2013)",1,"Fantasy, Young Adult, Fantasy > Paranormal, ",https://www.goodreads.com/book/show/17675462-the-raven-boys
542,Just Listen,Sarah Dessen,371,4.05,242637,United State,2006,None,None,"Young Adult, Romance, Contemporary, ",https://www.goodreads.com/book/show/51738.Just_Listen
543,The Polar Express,Chris Van Allsburg,32,4.31,224976,None,2000,"Caldecott Medal (1986), Kentucky Bluegrass Award (1987), Buckeye Children's Book Award for K-2 (1991), Nevada Young Readers' Award for Primary Category/Picture Book Category  (1988), Little Archer Award (1986)   Boston Globe-Horn Book Award Nominee for Picture Book - Honor Book (1986)",0,None,https://www.goodreads.com/book/show/420282.The_Polar_Express
544,The Truth About Forever,Sarah Dessen,374,4.12,217099,None,2004,"Romantic Times Reviewers' Choice Award (RT Award) for Urban Fantasy (2004), South Carolina Book Award for Young Adult Book Award (2007), Lincoln Award Nominee (2006), Missouri Gateway Readers Award Nominee (2007), Margaret A. Edwards Award (2017)",0,"Young Adult, Romance, Contemporary, ",https://www.goodreads.com/book/show/51737.The_Truth_About_Forever
545,Sarah's Key,Tatiana de Rosnay,294,4.17,448083,France,2007,No Award,0,"Historical > Historical Fiction, Fiction, World War II > Holocaust",https://www.goodreads.com/book/show/556602.Sarah_s_Key
546,Ishmael,Daniel Quinn,338,3.99,90409,None,2009,No Award,1,None,https://www.goodreads.com/book/show/40611328-ishmael
547,Are You My Mother?,P.D. Eastman,64,4.19,228886,None,1960,No Award,0,"Childrens, Childrens > Picture Books, Fiction",https://www.goodreads.com/book/show/197084.Are_You_My_Mother_
548,Much Ado About Nothing,William Shakespeare,246,4.06,227896,France,1598,No Award,0,"Classics, Plays, Fiction, ",https://www.goodreads.com/book/show/12957.Much_Ado_About_Nothing
549,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,176,3.97,455799,None,1990,"Book Sense Book of the Year Award Nominee for Children's Literature (2001), Nene Award (2003), Silberner Lufti (2000)",1,"Fiction, Young Adult, Childrens, ",https://www.goodreads.com/book/show/78411.The_Bad_Beginning
550,Far From the Madding Crowd,Thomas Hardy,433,3.95,138994,England,1874,No Award,0,"Classics, Fiction, Romance",https://www.goodreads.com/book/show/31463.Far_From_the_Madding_Crowd
551,It Ends with Us,Colleen Hoover,385,4.44,819928,United State,2016,Goodreads Choice Award for Romance (2016) and Nominee for Best of the Best  (2018),1,None,https://www.goodreads.com/book/show/27362503-it-ends-with-us
552,The Goldfinch,Donna Tartt,771,3.92,803858,United State,2013,"Pulitzer Prize for Fiction (2014), Audie Award for Literary Fiction (2014), National Book Critics Circle Award Nominee for Fiction (2013), Australian Book Industry Award (ABIA) Nominee for International Book (2014), Women's Prize for Fiction Nominee (2014)   Andrew Carnegie Medal for Fiction (2014), Goodreads Choice Award Nominee for Fiction (2013)",0,"Fiction, Contemporary, Literary Fiction, ",https://www.goodreads.com/book/show/17333223-the-goldfinch
553,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,482,4.24,211288,Netherlands,2013,"Hugo Award for Best Novel (1990), Locus Award for Best Science Fiction Novel (1990), Arthur C. Clarke Award Nominee (1992), British Science Fiction Association Award Nominee for Best Novel (1992), Premio Ignotus for Novela (1991)   SF Chronicle Award Nominee for Best Novel (1990), TÇÏhtivaeltaja Award (1998), Chesley Award Nominee for Hardback cover (2013), Prix Cosmos 2000 (1992), Seiun Award ‘??‚?ýŠü? for Best Foreign Novel (1995)",1,"Science Fiction, Fiction, Fantasy, ",https://www.goodreads.com/book/show/77566.Hyperion
554,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,454,4.5,690698,United State,2017,"National Book Award Nominee for Young People's Literature (2017), Odyssey Award (2018), William C. Morris YA Debut Award (2018), Los Angeles Times Book Prize Nominee for Young Adult Literature (2017), Edgar Award Nominee for Best Young Adult (2018)   Michael L. Printz Award Nominee (2018), Teen Buckeye Book Award (2018), Rhode Island Teen Book Award (2019), Evergreen Teen Book Award Nominee for High School (2020), Coretta Scott King Book Award Nominee for Author Honor (2018), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2018), Amelia Elizabeth Walden Award (2018), Boston Globe-Horn Book Award for Fiction (2017), The Inky Awards for Silver Inky (2018), Lincoln Award (2019), Waterstones Children's Book Prize for Overall and Older Fiction (2018), Kirkus Prize Nominee for Young Readers' Literature (2017), Goodreads Choice Award for Young Adult Fiction & for Debut Goodreads Author (2017) and for Best of the Best  (2018), Carnegie Medal Nominee (2018), NAACP Image Award Nominee for Youth/Teens (2018), Blogistanian Kuopus (2017)",1,"Young Adult, Fiction, Contemporary, ",https://www.goodreads.com/book/show/32075671-the-hate-u-give
555,"Angelfall (Penryn & the End of Days, #1)",Susan Ee,288,4.11,182374,United State,2011,CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2011),1,"Fantasy, Young Adult, Paranormal > Angels, ",https://www.goodreads.com/book/show/15863832-angelfall
556,The Zombie Room,R.D. Ronald,241,4.1,52408,None,2012,No Award,0,ThrillerFictionMystery,https://www.goodreads.com/book/show/29908754-the-zombie-room
557,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,368,4.2,441059,Nepal,1997,"Pulitzer Prize Nominee for General Nonfiction (1998), ALA Alex Award (1998), National Book Critics Circle Award Nominee for General Nonfiction (1997), Boardman Tasker Prize Nominee for Mountain Literature (1997)",0,"Nonfiction, Adventure, Autobiography > Memoir, ",https://www.goodreads.com/book/show/1898.Into_Thin_Air
558,"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,728,4.55,57587,Greece,2008,No Award,1,None,https://www.goodreads.com/book/show/2299110.Acheron
559,Lady Chatterley's Lover,D.H. Lawrence,376,3.51,109171,England,1928,No Award,0,"Classics, Fiction, Romance",https://www.goodreads.com/book/show/32049.Lady_Chatterley_s_Lover
560,"Silence (Hush, Hush, #3)",Becca Fitzpatrick,448,4.09,264969,United State,2011,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011),1,"Young Adult, Fantasy, Paranormal > Angels, ",https://www.goodreads.com/book/show/10637766-silence
561,"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,335,4.2,273092,United State,1935,No Award,1,"Classics, Historical > Historical Fiction, Childrens, ",https://www.goodreads.com/book/show/77767.Little_House_on_the_Prairie
562,Swann's Way,Marcel Proust,444,4.12,52626,France,1913,"French-American Foundation Translation Prize for Fiction (2003), Ñ?¥?ÑæÑ¬¥?¥ ¶®Ñ­Ñ§ÑóÑýÑó¥?ÑóÑïÑø¶¯ (2001)",1,"Classics, Fiction, Cultural > France",https://www.goodreads.com/book/show/12749.Swann_s_Way
563,Nine Stories,J.D. Salinger,302,4.17,139945,United State,1953,No Award,0,"Short Stories, Fiction, Classics, ",https://www.goodreads.com/book/show/4009.Nine_Stories
564,"You Are Special (Wemmicksville, #1)",Max Lucado,32,4.43,51631,None,2004,None,None,Childrens > Picture BooksChildrensChristian,https://www.goodreads.com/book/show/56728.You_Are_Special
565,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,456,4.03,164866,United State,2011,No Award,1,"Young Adult, Fantasy > Paranormal, Fantasy, ",https://www.goodreads.com/book/show/11408650-the-unbecoming-of-mara-dyer
